length	ct_index	w_count	hard0	hard30	hard50	all_count
106	8	99.6848	8	8	6	3089
106	9	178.1732	29	13	11	3089
106	10	120.2275	9	8	6	3089
107	1	309.0750	28	10	7	3121
107	2	112.7529	8	7	6	3121
107	3	1180.4563	1842	1521	858	3121
107	4	66.2779	6	5	3	3121
107	5	144.1152	8	8	7	3121
107	6	269.1811	22	19	9	3121
107	7	629.0032	1149	799	73	3121
107	8	104.3429	7	7	7	3121
107	9	181.3852	38	15	10	3121
107	10	124.4100	13	11	8	3121
108	1	333.6139	49	24	7	3392
108	2	129.7603	14	12	12	3392
108	3	1325.4767	2006	1679	1018	3392
108	4	71.4416	6	6	6	3392
108	5	151.9433	6	6	4	3392
108	6	288.3822	19	14	8	3392
108	7	662.7332	1246	850	61	3392
108	8	106.9983	7	6	4	3392
108	9	190.7950	23	11	7	3392
108	10	130.8548	16	12	9	3392
109	1	372.1814	41	23	13	3675
109	2	137.6812	14	12	10	3675
109	3	1411.6484	2197	1830	1022	3675
109	4	75.3388	6	6	5	3675
109	5	165.2190	8	8	6	3675
109	6	316.6579	18	16	11	3675
109	7	723.1999	1341	904	64	3675
109	8	118.4446	10	10	8	3675
109	9	212.3381	28	13	9	3675
109	10	142.2912	12	10	8	3675
110	1	401.8258	48	21	11	4006
110	2	150.6540	16	13	8	4006
110	3	1533.1639	2378	1967	1127	4006
110	4	80.9204	0	0	0	4006
110	5	178.1401	4	4	3	4006
110	6	348.8562	18	16	10	4006
110	7	799.2856	1483	1019	72	4006
110	8	132.5917	12	12	11	4006
110	9	227.7273	39	15	8	4006
110	10	152.8361	8	5	3	4006
111	1	506.4082	63	33	22	4927
111	2	183.1422	13	11	11	4927
111	3	1862.4989	2915	2419	1351	4927
111	4	100.2629	3	3	2	4927
111	5	223.6027	6	6	5	4927
111	6	431.4868	23	19	16	4927
111	7	989.1005	1840	1272	76	4927
111	8	161.1002	9	9	8	4927
111	9	278.4268	36	18	11	4927
111	10	190.9694	19	17	11	4927
112	1	547.8157	63	26	15	5406
112	2	202.0401	13	12	9	5406
112	3	2086.4870	3293	2741	1558	5406
112	4	112.5683	7	7	6	5406
112	5	246.2000	12	12	9	5406
112	6	457.9191	19	12	8	5406
112	7	1051.1144	1923	1295	85	5406
112	8	179.6283	13	13	12	5406
112	9	312.1700	49	22	13	5406
112	10	210.0570	14	10	6	5406
113	1	514.7058	64	33	15	5105
113	2	188.5440	10	9	8	5105
113	3	1953.3535	3051	2518	1446	5105
113	4	105.8645	1	1	1	5105
113	5	233.0392	14	13	11	5105
113	6	447.0301	34	29	23	5105
113	7	1004.4494	1864	1270	70	5105
113	8	161.4516	8	8	5	5105
113	9	298.9956	43	28	14	5105
113	10	197.5663	16	12	9	5105
114	1	462.7165	71	37	16	4575
114	2	175.1664	18	17	14	4575
114	3	1760.0604	2714	2286	1280	4575
114	4	92.8797	1	1	0	4575
114	5	210.1897	18	18	14	4575
